iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-02-03,164727.0,537.0,531.857,7420.0,2.0,2.429,4135.188,13.48,13.351,186.266,0.05,0.061,1.93,,,,,,,,,,,,,,,,,,5152297.0,4577740.0,3912336.0,,6868.0,11157.0,12.93,11.49,9.82,,280.0,9481.0,0.024,19.44,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-02-03,10927321.0,31209.0,25535.714,240239.0,437.0,368.143,7955.9,22.722,18.592,174.912,0.318,0.268,,,,,,,,,,,,,,,,,,,357212861.0,221186279.0,149866575.0,2691706.0,266946.0,932745.0,26.01,16.1,10.91,0.2,679.0,467173.0,0.034,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-02-03,261240.0,2697.0,1460.714,3362.0,16.0,6.429,90931.431,938.762,508.44,1170.232,5.569,2.238,1.12,,,,,,,,,7554.0,1570334.0,546.596,2.629,2416.0,0.841,0.605,1.7,tests performed,2612804.0,1250672.0,1156751.0,205381.0,,16639.0,90.95,43.53,40.26,7.15,5792.0,6816.0,0.237,61.11,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-02-03,255836.0,951.0,1448.286,6618.0,14.0,11.286,5734.096,21.315,32.461,148.33,0.314,0.253,1.02,40.0,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-02-03,36470.0,155.0,206.0,147.0,1.0,0.286,471468.832,2003.775,2663.081,1900.354,12.928,3.694,0.92,,,,,,,,,,297098.0,3840.758,,270.0,3.49,0.952,1.1,people tested,140193.0,57709.0,53104.0,,,682.0,181.24,74.6,68.65,,8817.0,9.0,0.012,47.22,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-02-03,98319.0,52.0,59.714,1896.0,1.0,0.429,2897.393,1.532,1.76,55.874,0.029,0.013,0.54,,,,,,,,,13038.0,1384080.0,40.788,0.384,2757.0,0.081,0.022,46.2,tests performed,14588435.0,9713546.0,4731866.0,,,131795.0,42.99,28.63,13.94,,3884.0,92281.0,0.272,64.81,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-02-03,2384.0,23.0,16.286,8.0,0.0,0.143,157619.835,1520.661,1076.741,528.926,0.0,9.445,,,,,,,,,,,,,,,,,,,21612.0,10211.0,9351.0,2050.0,,31.0,142.89,67.51,61.82,13.55,2050.0,3.0,0.02,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-02-03,6732.0,105.0,41.429,127.0,0.0,0.0,68187.343,1063.528,419.623,1286.363,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,123555.0,63197.0,60358.0,,,103.0,125.15,64.01,61.14,,1043.0,35.0,0.035,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-02-03,8515285.0,42437.0,43933.286,122152.0,318.0,257.143,186714.863,930.517,963.326,2678.43,6.973,5.638,0.78,2750.0,60.299,,,,,,,46527.0,32815997.0,719.557,1.02,58223.0,1.277,0.479,2.1,tests performed,88600891.0,39788166.0,34995196.0,13554259.0,311373.0,349849.0,194.28,87.24,76.73,29.72,7671.0,41950.0,0.092,34.26,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-02-03,379266.0,4388.0,3006.857,8065.0,5.0,4.286,127779.53,1478.373,1013.048,2717.201,1.685,1.444,2.06,,,,,,,,,4673.0,2754131.0,927.902,1.574,8313.0,2.801,0.362,2.8,tests performed,1894651.0,1045611.0,837694.0,5650.0,,9896.0,63.83,35.23,28.22,0.19,3334.0,6531.0,0.22,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,2022-02-03,33200.0,54.0,68.857,194.0,1.0,0.143,309715.938,503.755,642.354,1809.786,9.329,1.333,,,,,,,,,,,,,,,,,,,166692.0,86761.0,79931.0,,82.0,65.0,155.5,80.94,74.57,,606.0,36.0,0.034,37.96,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2022-02-03,102374585.0,659279.0,661569.857,1303719.0,2281.0,1976.429,21882.182,140.918,141.408,278.665,0.488,0.422,,,,,,,,,,,,,,,,,,,6908753221.0,3312854027.0,2790723817.0,513406654.0,9826558.0,12797735.0,147.67,70.81,59.65,10.97,2735.0,2943499.0,0.063,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2022-02-03,2676939.0,32179.0,31379.143,4073.0,86.0,85.143,103804.734,1247.818,1216.802,157.94,3.335,3.302,0.86,313.0,12.137,4448.0,172.482,,,,,110188.0,61391571.0,2380.605,4.273,113093.0,4.385,0.278,3.6,tests performed,50653287.0,21763718.0,20258283.0,8631286.0,252746.0,230830.0,196.42,84.39,78.56,33.47,8951.0,31465.0,0.122,66.2,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2022-02-03,1959017.0,38135.0,33050.857,14167.0,24.0,17.857,216631.804,4217.04,3654.826,1566.614,2.654,1.975,1.29,190.0,21.011,1771.0,195.841,,,,,1161196.0,145174272.0,16053.645,128.407,725933.0,80.275,0.046,22.0,tests performed,17709243.0,6755031.0,6770587.0,4525847.0,28346.0,30184.0,195.83,74.7,74.87,50.05,3338.0,2528.0,0.028,61.11,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2022-02-03,676426.0,6113.0,4702.429,8797.0,18.0,19.0,66164.848,597.945,459.97,860.482,1.761,1.858,1.92,,,,,,,,,17272.0,6208402.0,607.277,1.689,12649.0,1.237,0.372,2.7,tests performed,12114431.0,5239838.0,4746927.0,2127666.0,38436.0,29835.0,118.5,51.25,46.43,20.81,2918.0,2467.0,0.024,43.52,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2022-02-03,32680.0,35.0,43.429,748.0,0.0,1.857,82335.216,88.18,109.416,1884.539,0.0,4.679,0.78,,,,,,,,,509.0,210442.0,530.195,1.282,442.0,1.114,0.119,8.4,tests performed,318916.0,160505.0,151520.0,18037.0,,434.0,80.35,40.44,38.17,4.54,1093.0,110.0,0.028,42.59,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
